,mapper1,mapper2,Unnamed: 0,weight,avgDistance
286,ingrid k,prosper1994,833,1,0.00427829862071143
287,jabahum,juliakleine,834,1,0.00161417892966469
288,jabahum,nababi tracy,835,1,0.00790525860062496
289,jabahum,nabulo carol,836,1,0.00141280095920271
290,jaime mclaurin,yukiejiang,837,1,0.0013270937133137099
291,jmobrien,rasouth,838,1,0.00132873229616681
292,jpgehringer5,judithkamugisha,839,1,0.00180682716500405
293,jpgehringer5,juliakleine,840,1,0.00118999759018799
294,jpgehringer5,kantwi,841,1,0.00529624515962204
295,jpgehringer5,kiggudde,842,1,0.00188600087172657
296,jpgehringer5,kirbyk,843,1,0.00117312611614781
297,jpgehringer5,smart d,844,1,0.00114702789375936
298,jpgehringer5,wisniewskin,845,1,0.00118660223680982
299,jpierel14,kiggudde,846,1,0.0019127393653575301
300,jpierel14,kuberm,847,1,0.00154724110733073
301,jtodd38000,kiggudde,848,1,0.00108668628781126
302,jtodd38000,wisniewskin,849,1,0.00168462776323531
303,judithkamugisha,juweni,5115,6,0.013163444680591739
304,judithkamugisha,klain890,856,1,0.00160230130763334
305,judithkamugisha,m alejo,857,1,0.00496583082643625
306,judithkamugisha,michael montani,1717,2,0.01567479941008777
307,judithkamugisha,nababi tracy,4310,5,0.00896968632595395
308,judithkamugisha,nabulo carol,4335,5,0.00911577917722269
309,judithkamugisha,patrick etomet,2613,3,0.00843748222133067
310,judithkamugisha,prosper1994,4375,5,0.00986236461232694
311,judithkamugisha,shamillah,878,1,0.00299673788075505
312,judithkamugisha,tars4815,4405,5,0.010456606124374431
313,juliakleine,kiggudde,3542,4,0.0052465117440723096
314,juliakleine,lorenzostucchi,888,1,0.00117145878048634
315,juliakleine,mandyw,889,1,0.0018524133724036398
316,juliakleine,nababi tracy,890,1,0.00114598869674414
317,juliakleine,nabulo carol,3570,4,0.0047744230931810495
318,juliakleine,nawinecoff,895,1,0.00144128831441004
319,juliakleine,patrick etomet,2691,3,0.00353527049094572
320,juliakleine,smart d,899,1,0.00105924627993451
321,juliakleine,solution oriented,900,1,0.00127191157062245
322,juweni,nababi tracy,1803,2,0.00246673995400919
323,juweni,nabulo carol,7252,8,0.015509681882322272
324,juweni,naturinda,7316,8,0.032159750021562114
325,juweni,prosper1994,2760,3,0.00598998041374256
326,juweni,siima,7404,8,0.02510928630452614
327,juweni,tars4815,930,1,0.0016335343005416901
328,kaitlynh,nandjo,931,1,0.0017509175490182198
329,kaitlynh,rcampbe1,932,1,0.0011141896111119599
330,kaluba micheal,kiggudde,2802,3,0.005386000801462501
331,kaluba micheal,nababi tracy,1873,2,0.009574650493013119
332,kaluba micheal,nabulo carol,3758,4,0.0131445702043574
333,kantwi,kwaku_boateng,5667,6,0.07182241917318788
334,kantwi,pkodame,7612,8,0.07366939134422704
