auth_a,auth_b,cnt
judithkamugisha,pandabear,433
judithkamugisha,prosper1994,28869
judithkamugisha,shamillah,344
judithkamugisha,siima,62861
judithkamugisha,tars4815,7769
juliakleine,solution oriented,2181
juweni,kahembi,24
juweni,nabulo carol,461747
juweni,naturinda,31344
juweni,overday@gis,8
juweni,prosper1994,784
juweni,red_ranger,434
juweni,robbanda,30
juweni,siima,16877
juweni,tars4815,569
juweni,whatmeinfallible,37
kadir612,merve_ugur,2
kahembi,lorenzostucchi,503
kahembi,tars4815,14313
kaitlynh,kerrymapper,50
kaitlynh,nandjo,10
kaitlynh,ratrun,84
kaluba micheal,kiggudde,468
kaluba micheal,klain890,670
kaluba micheal,mugabi henry,1224
kaluba micheal,nababi tracy,76
kaluba micheal,nabulo carol,344
kaluba micheal,netondo,13
kaluba micheal,nielkrokodil,132
kaluba micheal,philippe w,1
kaluba micheal,prosper1994,11
kaluba micheal,raducu1978,24
kaluba micheal,shamillah,92
karanjaelijah,kitol,202
karanjaelijah,panieravide,108
karanjaelijah,rudie_ironman,389
karanjaelijah,sagaml,2468
karinajay,tars4815,1308
keuber patrick,kiggudde,32
keuber patrick,liam18929920,1
keuber patrick,mugabi henry,154
keuber patrick,piilan1,23
kiggudde,klain890,359
kiggudde,maggie in leith,53
kiggudde,mugabi henry,70
kiggudde,nababi tracy,144
kiggudde,naturinda,5248
kiggudde,shamillah,53
kilsedar,lorenzostucchi,5842
kilsedar,mark2295,394
kilsedar,marvin bergner,40
kilsedar,michael montani,1096
kilsedar,naturinda,256
kilsedar,rafaela pb,165
kilsedar,tars4815,2070
kingrollo,nabulo carol,1
kitol,sagaml,3
klain890,mugabi henry,957
klain890,nidhi malik,296
klain890,ratrun,34
klain890,sanderson2708,1
klain890,shamillah,921
klain890,wava stella,1
knihovnik,marco443,864
knihovnik,michael montani,18200
kombe1207,lowenz,2
kombe1207,nababi tracy,419
kombe1207,nabulo carol,8
kombe1207,nielkrokodil,26
kombe1207,prosper1994,41
kombe1207,sunrich,12
kombe1207,tonny john,2
kostik,murat besler,2
kostik,nesim,1
kostik,scarletazure,2
kostik,unen,1
kreuzschnabel,secondedition,29
kreuzschnabel,stonemill2,10
kreuzschnabel,thomasøderud,5
kwaku_boateng,pkodame,36
kwaku_boateng,prosper1994,17
kwaku_boateng,tars4815,699
la_nenemini,maptain haddock,1414
la_nenemini,nwasi,23
la_nenemini,stella lee,1
lani_martin,mywayornohighway,110
lani_martin,nabulo carol,963558
lani_martin,nwasi,2099
lani_martin,nzak88,1396
lani_martin,qorinaputri,10
lani_martin,rofiqoh,427
lani_martin,shingj10042,59
lani_martin,spawkly,2301
lani_martin,sumit bikram rana,5359
lani_martin,suny geneseo gis association,129
lani_martin,thequietstorm88,1584
lani_martin,walterbroll,577
lani_martin,zakatar,204
lani_martin,zemin dhanani,7694
lawot,solution oriented,48125
legolash2oliam,richardg6paj,9
leigh-ann,olatubosun,355
lemnis,marco443,3
lemnis,markus jylhä,219
lemnis,mugabi henry,10
lemnis,nicoleyohe,230
liam18929920,meryre,82
liam18929920,roisin96,474
liam18929920,ruby stewart,166
libor bednarik,marco443,440
libor bednarik,michael montani,43791
libor bednarik,piaco_dk,268
libor bednarik,tars4815,19776
liisaha,pinja-liina,41
lindatina,manirakiza moses,1
lindatina,willemr,15
lisa marie owen,magiraud,5
livasa,nicoleyohe,329
livasa,ratrun,14
llc6,tars4815,26
lmitch888,mconant,59
lmitch888,oberpfälzer,13
lmitch888,reeseray789,561
lmitch888,sac1234,2
lordcob,roys2728,13
lordcob,tars4815,117
lorenzostucchi,maddie simpson,12
lorenzostucchi,mark2295,113
lorenzostucchi,michael montani,10326
lorenzostucchi,tars4815,10118
lorenzostucchi,teteka,144
lowenz,nababi tracy,121
lowenz,tonny john,1
lukwago,nabulo carol,96
lusirto,moradon,191
lusirto,nikolas von randow,10
maclondon,mcld,10
maclondon,pedds,53
maclondon,peregrination,326
maclondon,plexi32,4
maclondon,ridixcr,2
maclondon,russ,222
maclondon,spiregrain,7
maclondon,user9319062,5
maclondon,weasel-wiesel,6
maggie in leith,petri eskelinen,187
magiraud,nababi tracy,80
magiraud,zygmunt czykieta,8
mahabala henry,moses kitwi,5
mahabala henry,nielkrokodil,73
mahabala henry,tonny john,16
manirakiza moses,nababi tracy,1095
manirakiza moses,naturinda,152
manirakiza moses,nielkrokodil,39
manirakiza moses,nifemi salami,1
manirakiza moses,willemr,5
mapmaker lp,nhamoudi,18
mapmaker lp,ohanaunited,302
maptain haddock,nwasi,35
maptain haddock,sumit bikram rana,262
march four,scarletazure,2
marco443,michael montani,10076
marco443,mugabi henry,7
marco443,tars4815,680
marion barry,max planck,13
marion barry,philipvanzyl,9
marion barry,wo gehen wir hin,43
mark2295,michael montani,17
mark2295,tars4815,30
markus jylhä,mpuuga,27
marthaleena,nababi tracy,53
martintamarre,nicojp,1
marvin bergner,mhoang,99
mattfromderby,peregrination,34
max planck,wo gehen wir hin,18
mcheckimport,michael montani,2190
mcheckimport,stefano21,6
mcld,peregrination,34
mcld,spiregrain,3
mconant,reeseray789,171560
mconant,sac1234,181
melody-a,shazm,2
melody-a,tars4815,284
meridianeum,prinzvizzy,32
meridianeum,solution oriented,11975
meryre,mpuuga,7
meryre,mugabi henry,33
meryre,nabulo carol,406
michael montani,peter14,13
michael montani,piaco_dk,4
michael montani,stefano21,20
michael montani,tars4815,56877
michael63,nabulo carol,2262
michaels bus,nielkrokodil,30
mikew1123,solution oriented,65109
mikew1123,wisniewskin,358
mjaia,mpuuga,13
mjaia,mugabi henry,123
mjaia,naputus,723
mjaia,piilan1,85
mjaia,shamillah,76
mjb3,szjjdd,14
moradon,nikolas von randow,61
moses kitwi,nielkrokodil,11
moses kitwi,nuru_kalulunga,1
moses kitwi,tonny john,4
moses02,olatubosun,194
mpuuga,shamillah,30
mstan080,olatubosun,16
mstan080,zwombie,1
mszuhan,philippe w,10
mszuhan,tetram,90
mugabi henry,nababi tracy,407
mugabi henry,naturinda,2
mugabi henry,ngumenawesamson,248
mugabi henry,nicoleyohe,122
mugabi henry,nielkrokodil,201
mugabi henry,philippe w,295
mugabi henry,piilan1,175
mugabi henry,prosper1994,87
mugabi henry,ratrun,2
mugabi henry,shamillah,10
mugabi henry,tetram,303
mugabi henry,u aye maung,1
murat besler,scarletazure,5
murungi christopher,paradox24,6
musawo,shamillah,13
mutenyo joan,nababi tracy,3946
mutenyo joan,nielkrokodil,50
mutenyo joan,russdeffner,1
mwesigwa irene,prosper1994,2
mwesigwa irene,tars4815,1968
myosmalexis,nesim,236
myosmalexis,nuri çekin,18
myosmalexis,pyram,18
myosmalexis,smgnslk,42
myosmalexis,yercizenler,65
myosmalexis,ylmzfrk,1
myosmalexis,zeynep çangarlı,26
mywayornohighway,tars4815,165
nababi tracy,nabulo carol,6380
nababi tracy,naturinda,3877
nababi tracy,nielkrokodil,680
nababi tracy,prosper1994,238
nababi tracy,siima,6395
nababi tracy,tars4815,21101
nababi tracy,tonny john,101
nabulo carol,naturinda,9033
nabulo carol,nielkrokodil,442
nabulo carol,nuru_kalulunga,268
nabulo carol,piligab,286
nabulo carol,pkodame,178
nabulo carol,prosper1994,22700
nabulo carol,rab,13038
nabulo carol,robbanda,16
nabulo carol,rofiqoh,15389
nabulo carol,sarahjoy,4
nabulo carol,sarrukh,2283
nabulo carol,shamillah,103
nabulo carol,siima,21533
nabulo carol,simon c loose,16
nabulo carol,tars4815,75311
nabulo carol,tasauf1980,256
nabulo carol,tonny john,10
nabulo carol,upendrakarukonda,574
nabulo carol,vickiemorine,647
namu derrico,prosper1994,1
namu derrico,yusuf hamba,57
naputus,shamillah,808
naturinda,nawinecoff,2304
naturinda,nelephant,9
naturinda,okwang stephen,2224
naturinda,prosper1994,403
naturinda,sara_j,2
naturinda,siima,53057
naturinda,tars4815,936
naturinda,yli222,63
nelsonoaks,noswet,32
nelsonoaks,smart d,1229
nelsonoaks,solution oriented,32549
nelsonoaks,wisniewskin,4741
nesim,nuri çekin,2
nesim,ozkanabdllh,14
nesim,pyram,10
nesim,scarletazure,35
nesim,setenay,2
nesim,smgnslk,12
nesim,teresalangenkamp,3
nesim,unen,119
nesim,yercizenler,252
nesim,ylmzfrk,13
nesim,zehrakay,2
nesim,zeynep çangarlı,130
netondo,nielkrokodil,5
netondo,tukei,191
nicoleyohe,shamillah,16
nielkrokodil,patricia kanyerere,1
nielkrokodil,sarrukh,37
nielkrokodil,tukei,80
nielkrokodil,upendrakarukonda,1
nielkrokodil,vickiemorine,4
nielkrokodil,zwombie,1
noswet,solution oriented,13693
noswet,wisniewskin,1504
nuri çekin,smgnslk,2
nuri çekin,yercizenler,20
nuri çekin,ylmzfrk,1
nuru_kalulunga,shamillah,16
nuru_kalulunga,siima,7
nuru_kalulunga,tukei,26
nushsaid,temitope,784
nwasi,sumit bikram rana,1445
nwasi,zemin dhanani,4123
oberpfälzer,reeseray789,191
olatubosun,osuntoye,8
olatubosun,paulo martim,1182
olatubosun,ratrun,1450
olatubosun,sp!ke,168
olatubosun,usefulness,319
olatubosun,valerie nwakusor,51
olatubosun,zwombie,98
oldcor,palolo,754
oldcor,tars4815,3140
omerklc755,ratrun,1
oğuz bey,scarletazure,1
painkill,sokol1901,2
palolo,tars4815,912
pandabear,suranokr,23
panieravide,rudie_ironman,12
panieravide,sagaml,4
pauline macharia,zetel,224
pedds,peregrination,40
pedds,russ,64
peregrination,plexi32,7
peregrination,russ,112
peregrination,spiregrain,3
peregrination,tubbai11,7
peregrination,weasel-wiesel,4
petri eskelinen,shamillah,101
philippe w,swardshenton,43
philippe w,tetram,118
philipvanzyl,wo gehen wir hin,33
phoenix star,smart d,936
phoenix star,solution oriented,11994
phoenix star,tupero,221
phoenix star,wisniewskin,3871
piaco_dk,tars4815,1197
plexi32,russ,10
poppyflowers,tomm4,46
prinzvizzy,solution oriented,16414
prosper1994,siima,2350
prosper1994,tars4815,10460
prosper1994,vickiemorine,1106
prosper1994,xicopath,163
pyram,yercizenler,3
pyram,zeynep çangarlı,6
rab,tars4815,20074
raducu1978,sarrukh,1
ratrun,salami haruna olalekan,11
ratrun,smart d,46
ratrun,solution oriented,2687
ratrun,tugume dan,28
ratrun,tupero,9
ratrun,uncle bourbon,6
ratrun,wisniewskin,322
rene78,vanagaudi,80
richard dalmat,zemin dhanani,20
rlaurentinus,sylwian_arup,68
rlaurentinus,tri selasa,11
robbanda,tars4815,205
roisin96,ruby stewart,198
roys2728,tars4815,85
rudie_ironman,sagaml,10
salami haruna olalekan,smart d,24
salami haruna olalekan,solution oriented,15261
salami haruna olalekan,wisniewskin,511
saltyone,stonemill2,92
scarletazure,unen,18
secondedition,stonemill2,13
secondedition,thomasøderud,25
setenay,unen,54
shamillah,tetram,79
shamillah,tukei,10
shamillah,yogendra86,48
shazm,tars4815,5
siima,tars4815,48
smart d,solution oriented,113874
smart d,wisniewskin,6338
smgnslk,yercizenler,12
smgnslk,ylmzfrk,9
solution oriented,tupero,9
solution oriented,wisniewskin,209315
sumit bikram rana,zemin dhanani,9530
sushi_klaus,tonybendell,8
tars4815,teteka,249
tars4815,theb37,1920
tars4815,wernerp,14
tars4815,wonderworld,605
tars4815,zetel,20
teresalangenkamp,yercizenler,11
teresalangenkamp,zehrakay,2
tonybendell,toyotagps,1
tukei,vickiemorine,4
tupero,wisniewskin,6430
vector xenon,wisniewskin,2
walterbroll,zakatar,8
wmietek,wmyrda,22
yercizenler,ylmzfrk,31
yercizenler,zehrakay,14
yercizenler,zeykaya,4
yercizenler,zeynep çangarlı,37
