,mapper1,mapper2,datemapped,weight,avgDistance
351,danielzyt,hills95,2017-07-01,77705,0.00470802712386105
352,danielzyt,hills95,2017-07-04,876,0.00773516591944431
353,danielzyt,hills95,2017-07-19,16,0.00100393691161749
354,danielzyt,hills95,2017-07-21,667789,0.00154933396881722
355,danielzyt,hills95,2017-07-23,4608,0.00457295611552985
356,danielzyt,hills95,2017-08-05,2303,0.00106618875814704
357,danielzyt,hills95,2017-09-11,873,0.00116591206254454
358,danielzyt,hills95,2017-09-12,243087,0.00175704254662147
359,danielzyt,hills95,2017-09-13,463445,0.00239924592124612
360,danielzyt,hills95,2017-09-14,3112,0.00115482877984182
361,danielzyt,hills95,2017-09-15,547596,0.00172953164764898
362,danielzyt,hills95,2017-09-18,968563,0.00159859402580747
363,danielzyt,hills95,2017-09-19,250439,0.00232128506134013
364,danielzyt,hills95,2017-09-20,1607836,0.00155634142309895
365,danielzyt,hills95,2017-09-22,155074,0.00259088719752344
366,danielzyt,hills95,2017-09-23,58,0.00105799487314245
367,danielzyt,hills95,2017-10-05,118757,0.00186176625023776
368,danielzyt,hills95,2017-10-06,217699,0.00187706679572759
369,danielzyt,hills95,2017-10-07,10420,0.00125952207092817
370,danielzyt,hills95,2017-10-08,1406063,0.00210537725147128
371,danielzyt,hills95,2017-10-09,9428,0.003495215618042
372,danielzyt,hills95,2017-10-10,6554,0.00153720659513505
373,danielzyt,hills95,2017-10-11,365,0.00241511007890441
374,danielzyt,ingrid k,2016-12-23,38,0.00141702703055811
375,danielzyt,jpgehringer5,2016-09-07,92,0.00103629827322165
376,danielzyt,jpgehringer5,2016-09-17,268,0.00195940342639393
377,danielzyt,judithkamugisha,2017-02-13,5476,0.00194896057574727
378,danielzyt,judithkamugisha,2017-02-15,200,0.0112476133979241
379,danielzyt,judithkamugisha,2017-03-08,240,0.00136785042168609
380,danielzyt,judithkamugisha,2017-03-15,300,0.00110452545953191
381,danielzyt,judithkamugisha,2017-03-17,3076,0.00162727608256694
382,danielzyt,judithkamugisha,2017-03-22,80,0.00106977072819233
383,danielzyt,judithkamugisha,2017-04-09,638,0.00111228186381207
384,danielzyt,judithkamugisha,2017-04-14,44,0.00195198827791625
385,danielzyt,judithkamugisha,2017-06-20,105021,0.00170540902611332
386,danielzyt,judithkamugisha,2017-07-21,1856,0.00629977111554012
387,danielzyt,judithkamugisha,2017-09-13,86394,0.00153630869427943
388,danielzyt,juliakleine,2016-09-07,4,0.00101493531967888
389,danielzyt,juliakleine,2016-09-14,694,0.00161008227347182
390,danielzyt,juliakleine,2016-09-17,16969,0.00129528461807113
391,danielzyt,juliakleine,2016-10-22,569,0.00111270269430838
392,danielzyt,juweni,2017-03-08,36,0.00101046003806242
393,danielzyt,juweni,2017-03-16,13249,0.0013475465827635
394,danielzyt,juweni,2017-03-20,761,0.00124917806763998
395,danielzyt,juweni,2017-04-08,192,0.00127516982763655
396,danielzyt,juweni,2017-04-10,5861,0.00149840051940574
397,danielzyt,juweni,2017-04-11,864,0.00145626441628433
398,danielzyt,juweni,2017-04-14,4,0.00113710741633875
399,danielzyt,juweni,2017-06-11,28506,0.00258562082724586
400,danielzyt,juweni,2017-06-12,8320,0.0011481881044264
401,danielzyt,juweni,2017-07-19,16,0.00141694777954272
402,danielzyt,kiggudde,2016-09-07,3952,0.00139963401512881
403,danielzyt,kiggudde,2016-09-17,366,0.00138860497590209
404,danielzyt,kiggudde,2016-10-22,1854,0.00291309961522646
405,danielzyt,kiggudde,2016-12-17,16505,0.00168365640199983
406,danielzyt,kiggudde,2016-12-23,251,0.0217673686137884
407,danielzyt,kiggudde,2017-06-20,2737,0.00128288086814101
408,danielzyt,kiggudde,2017-07-23,8,0.00103932316311956
